PlayerName,Pos,Age,MP,OWS,DWS,OBPM,DBPM
Daniel Gafford,C,21,609,1.1,0.8,-2.8,1.5
Danilo Gallinari,PF,31,1690,4.1,1.6,4.1,-0.9
Langston Galloway,SG,28,1702,2.4,0.7,0.1,-0.9
Darius Garland,PG,20,1824,-1.3,0,-2.7,-2.9
Marc Gasol,C,35,990,0.9,1.8,-0.9,2.7
Rudy Gay,PF,33,1287,0.6,0.9,-0.5,-1
Paul George,SF,29,1222,1.9,2,3.4,1.1
Taj Gibson,C,34,1025,1.8,0.8,-0.7,-0.4
Harry Giles,PF,21,579,0.7,0.7,-2.2,1.1
Shai Gilgeous-Alexander,SG,21,2214,2.9,2.6,1.4,0.2
Rudy Gobert,C,27,2142,6,4,1.8,1.9
Brandon Goodwin,PG,24,430,-0.1,0.2,-1.5,-1.3
Aaron Gordon,PF,24,1914,1.2,2.2,-0.3,0.1
Eric Gordon,SG,31,972,0.2,0.5,-1.6,-2
Devonte' Graham,PG,24,2211,2.5,0.9,2.6,-2.1
Treveon Graham,SG,26,929,-0.2,0.4,-4.5,-1.1
Treveon Graham,SG,26,663,-0.2,0.3,-5,-0.8
Treveon Graham,SG,26,266,0,0.1,-3.2,-1.7
Jerami Grant,PF,25,1676,2.4,1.7,-0.1,-0.4
Josh Gray,PG,26,23,-0.1,0,-11.3,-4.7
Danny Green,SG,32,1529,1.1,2.4,-0.8,1.7
Draymond Green,PF,29,1222,-0.2,1.3,-2,1.9
JaMychal Green,PF,29,1130,0.8,1.8,-1.4,0.6
Javonte Green,SF,26,414,0.3,0.7,-2.4,1.8
Jeff Green,PF,33,754,0.6,0.8,-0.4,0
Jeff Green,PF,33,553,0,0.6,-1.8,-0.2
Jeff Green,PF,33,201,0.6,0.2,3.5,0.4
Blake Griffin,PF,30,512,-0.4,0.2,-1.7,-2.6
Marko Guduric,SG,24,476,-0.2,0.4,-2.6,-0.8
Kyle Guy,SG,22,4,0,0,-1.3,-2.8
Rui Hachimura,PF,21,1217,1.3,0.4,-1.1,-1.9
Devon Hall,SG,24,20,0,0,-6.2,-3.6
Donta Hall,PF,22,48,0,0,-5.6,-1.4
Dusty Hannahs,SG,26,13,0,0,5.2,-2.1
Tim Hardaway Jr.,SG,27,1815,3.1,1.1,1.5,-1.2
James Harden,SG,30,2241,8.7,2.7,7.9,1.2
Maurice Harkless,SF,26,1427,0.8,1.9,-2.6,1.9
Maurice Harkless,SF,26,1141,0.5,1.7,-2.5,2.4
Maurice Harkless,SF,26,286,0.3,0.2,-3.1,-0.3
Jared Harper,PG,22,8,0,0,-10.2,-5.7
Montrezl Harrell,C,26,1749,4.5,2.5,2.4,0.5
Gary Harris,SG,25,1780,0.5,1.7,-2.8,0.4
Joe Harris,SF,28,1946,2.1,1.7,0,-0.5
Tobias Harris,PF,27,2243,3,2.6,1,-0.4
Shaquille Harrison,SF,26,484,0.8,0.8,0.4,2.4
Josh Hart,SF,24,1563,1,1.7,-1.2,0.6
Isaiah Hartenstein,C,21,266,0.7,0.4,-0.9,1.3
Udonis Haslem,PF,39,21,0,0,-9.7,-3
Jaxson Hayes,C,19,951,2.5,1,-0.8,0.8
Gordon Hayward,SF,29,1501,3.1,1.9,2.6,0.3
John Henson,PF,29,600,0.6,0.8,-1.1,2.1
